"X35S_0"	"X35S_3h"	"X35S_8h"	"BRN_0"	"BRN_3h"	"BRN_8h"	"GL2_0"	"GL2_3h"	"GL2_8h"	"GL2GL2_0"	"GL2GL2_3h"	"GL2GL2_8h"	"SCR_0"	"SCR_3h"	"SCR_8h"	"SCRSCR_0"	"SCRSCR_3h"	"SCRSCR_8h"	"SCRGL2_0"	"SCRGL2_3h"	"SCRGL2_8h"	"SHR_0"	"SHR_3h"	"SHR_8h"
"AT5G62620"	120.86	153.72	110.315	108.67	133.285	131.925	183.615	257.735	182.755	277.67	385.24	258.755	46.215	58.195	59.135	52.17	67.78	68.17	50.645	61.85	69.145	181.04	200.095	207.525
"AT1G28070"	419.5	334.81	359.32	331.1	319.735	285.445	1077.115	1294.485	1373.365	1283.87	1522.225	1229.915	65.09	66.435	101.43	82.13	90.36	88.01	104.935	89.065	91.115	877.915	644.575	723.59
"AT1G16858"	1316.035	1530.37	1635.565	1683.57	1818.385	1821.395	2204.89	2754.46	2517.415	2233.31	2961.54	3263.08	1348.04	1279.59	1457.83	1161.255	1391.295	1269.93	965.92	1159.66	968.885	1817.465	1782.475	1969.05
"AT3G13360"	889.21	1060.175	965.555	796.24	697.41	934.675	1143.545	1424.865	1354.43	1311.315	1866.65	1666.585	485.225	578.05	568.67	438.555	517.5	540.91	494.43	524.31	430.025	820.715	995.19	877.045
"AT3G57410"	790.365	698.835	555.79	598.97	565.06	605.37	685.77	856.11	1094.365	1315.795	1510.895	1396.005	526.6	569.625	596.345	505.625	578.85	492.86	334.095	382.3	271.915	1261.715	1211.08	1276.615
"AT2G03350"	1152.475	850.385	954.52	1020.245	1036.02	890.445	1076.03	1352.755	1457.495	1090.465	1364.24	1293.295	678.75	884.715	1033.97	918.055	829.125	891.11	701.415	784.705	662.69	1003.07	905.88	1059.195
"AT1G45688"	3008.095	3787.575	3111.855	2435.155	2576.82	2585.065	5698.28	8250.8	6524.735	5426.35	7527.32	7072.42	2847.275	3687.655	2943.265	2866.525	3135.915	2825.51	2426.545	2870.305	2299.68	2487.795	2950.22	2649.245
"AT4G00430"	4918.39	4776.97	4934.925	2895.295	3087.63	2893.925	13002.715	19987.22	16967.535	12585.21	15758.135	15287.485	4426.82	4599.895	5503.555	2424.8	3335.39	3956.815	3534.435	3220.595	3894.82	5015.64	3899.14	4673.56
"AT1G08590"	310.84	396.535	383.935	159.33	208.42	185.98	889.6	1256.08	787.7	642.87	1232.02	1097.885	311.015	407.46	404.515	370.06	529.81	429.335	174.69	259.215	172.25	225.145	269.045	281.055
"AT1G64640"	2610.22	3944.48	3131.04	4432.15	3708.06	3322.785	8604.58	12828.865	7234.41	8126.26	12922.16	11657.515	2089.53	3278.745	2973.745	3267.02	2934.22	3573.095	1473.625	2809.09	1680.08	2715.945	3254.535	3061.625
"AT2G19620.2"	157.805	248.645	210.01	206.36	178.48	241.085	375.52	814.4	615.77	459.15	826.205	694.565	97.175	123.22	107.97	117.1	107.95	139.615	101.71	119.2	114.22	146.845	168.555	166.455
"AT4G34260"	581.655	554.35	494.775	520.38	403.445	597.045	2302.545	2915.09	2141.74	3035.425	3784.055	3451.065	271.085	260.045	224.695	410.68	369.01	409.64	241.48	236.715	238.29	661.09	733.945	853.2
"AT5G22310"	152.64	232.415	165.685	55.995	137.975	127.345	554.335	1105.34	947.715	838.07	1204.19	1258.965	75.9	68.41	46.555	174.22	233.69	232.12	22.6	30.815	22.52	21.61	43.705	36.705
"AT1G03870"	22361.295	21758.855	21350.095	9615.14	14424.595	11756.735	57332.005	73306.42	76923.875	70982.17	96541.88	92764.345	20057.71	25193.89	23984.6	22649.005	26330.13	30243.835	13222.655	16703.26	14065.35	8986.87	11129.85	10137.195
"AT3G49845"	2422	3304.425	3221.54	3137.3	3917.95	2566.095	7755.58	10894.155	12048.7	11482.06	20620.09	16841.235	1316.425	1696.32	1483.7	2948.65	4543.895	3824.65	451.77	719.215	549.57	1020.715	1031.895	817.31
"AT5G10430"	22381.445	45464.295	28083.53	14181.025	19358.84	23274.42	46695.915	71995.675	68235.17	62995.01	111143.715	93273.215	23692.335	33970.045	34885.82	19907.4	31989.25	33194.865	13610.005	22487.485	13770.71	20458	28129.12	23983.965
"AT2G35880"	1300.33	1682.185	1361.275	894.535	1108.36	1085.6	2267.785	3609.08	3364.595	3054.35	4509.785	4224.305	1547.71	2093.59	1947.475	2082.235	2100.64	2297.445	1251.07	1690.475	1340.57	845.93	1382.245	1397.915
"AT3G58620"	113.205	191.115	132.56	68.775	91.88	129.99	317.97	474.865	474.09	330.6	464.395	423.575	198.06	250.395	165.4	222.655	217.645	234.3	124.05	128.18	79.04	133.68	176.38	197.53
"AT4G12510"	23333.755	28823.53	28215.845	16396.48	17681.66	13424.69	63803.945	69111.735	85627.725	102748.46	119724.43	121383.025	38412.445	27708.6	33400.29	43838.025	57991.32	67748.7	13549.365	16536.415	10735.395	3274.545	2833.02	3540.265
"AT4G21850"	19804.785	22796.975	25601.28	36920.05	32905.245	36474.25	52644.745	71636.39	99674.22	76317.46	124475.435	141949.675	9701.57	17044.305	13432.65	12528.475	21075.135	17041.95	9307.465	15305.07	8830.955	2631.11	4031.425	4456.965
"AT4G30290"	2751.47	4317.63	3441.48	8780.565	10673.99	15917.69	11407.575	26363.275	22039.005	24327.35	46539.675	49639.81	178.265	211.405	257.19	354.78	299.9	371.395	196.11	310.19	233.155	173.3	256.13	294.315
"AT2G39010"	167.49	325.87	300.87	139.855	143.9	119.935	661.44	1863.54	1547.38	2382.27	4163.245	4897.485	26.51	39.96	40.71	64.945	38.125	68.78	30.59	38.835	26.005	8.91	18.565	28.395
"AT5G04820"	326.43	529.24	454.86	575.02	1012.305	463.22	517.22	1023.215	1029.35	1072.93	1324.69	1290.955	287.515	407.345	298.325	239.745	309.835	244.07	348.71	453.23	399.42	191.56	242.65	223.305
"AT3G56000"	64.975	96	91.68	41.54	82.555	117.37	110.3	210.045	343.88	134.9	199.16	298.3	125.47	112.5	133.505	63.305	70.795	58.27	52.255	46.79	76.745	18.145	43.01	51.745
"AT3G16850"	1154.425	1463.995	1493.005	976.715	1336.72	1856.01	1992.07	2375.215	2982.87	2555.69	2739.995	2865.08	1125.7	1588.605	1620.475	1035.035	1344.395	1628.14	901.67	1014.67	967.245	925.525	1228.775	1270.68
"AT1G73170"	121.075	192.265	170.16	100.81	127.155	161.8	141.025	174.07	205.29	220.765	261.285	238.575	114.615	121.08	122.09	117.98	133.89	118.685	128.47	139.19	117.54	118.74	153.275	142.845
"AT5G11420"	270.73	275.715	198.12	157.12	163.88	92.675	388.165	745.745	625.38	2574.07	2345.385	1953.76	41.72	28.64	30.635	49.965	52.795	50.015	28.89	44.18	38.24	189.925	173.435	130.59
"AT2G47550"	730.11	541.09	314.115	3142.845	2320.99	1063.645	4643.115	4106.59	3144.495	3341.135	4119.74	3471.43	73.76	54.735	43.84	139.33	174.8	97.81	44.355	60.265	45.29	81.18	78.045	64.49
"AT5G45280"	3861.475	2820.975	2558.675	13763.175	9475.77	10712.495	19825.945	17262.575	14008.975	15894.585	17863.175	14691.35	360.28	250.825	234.6	478.485	421.255	441.84	322.88	286.17	285.68	453.1	314.195	259.395
"AT2G25810"	4407.535	3276.775	3760.285	7153.185	6076.215	3815.225	18739.005	16569.975	16481.98	21650.135	16336.08	19598.21	410.11	357.735	425.42	769.025	726.335	631.675	370.97	394.985	354.625	327.77	281.355	348
"AT1G67330"	471.56	465.88	502.785	365.38	405.315	353.225	2206.835	1957.56	1848.045	2637.135	2021.77	1943.08	64.04	58.53	109.34	106.39	134.595	168.31	71.63	73.92	62.2	30.19	39.14	34.99
"AT1G28240"	415.575	532.105	381.215	476.57	443.345	606.655	834.6	1271.85	1197.49	1035.34	1290.055	1168.905	440.325	503.9	424.335	418	482.39	436.73	380.91	473.905	369.085	246.81	320.985	296.005
